                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Export 50x JPEG                             , Average Score                                  , 201.2       , 202.2       , 201.7       , 203.5       , 199.9               , 203.1               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Convert to DNG 50x Images                   , Average Score                                  , 91.8        , 90.8        , 92.3        , 90.7        , 93.5                , 95                  ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Import 500x Images                          , 22MP .CR2                                      , 6.63        , 6.41        , 5.98        , 6.29        , 5.8                 , 5.63                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Import 500x Images                          , 42MP .ARW                                      , 11.07       , 11.81       , 12.45       , 9.51        , 11.21               , 9.79                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Import 500x Images                          , 45MP .NEF                                      , 7.58        , 7.91        , 8.13        , 9.38        , 8.13                , 7.33                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library Module Loupe Scroll                 , 22MP .CR2                                      , 0.94        , 0.94        , 0.92        , 0.91        , 0.93                , 0.94                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library Module Loupe Scroll                 , 42MP .ARW                                      , 0.91        , 0.92        , 0.94        , 0.94        , 0.92                , 0.92                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library Module Loupe Scroll                 , 45MP .NEF                                      , 0.91        , 0.92        , 0.94        , 0.94        , 0.94                , 0.94                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Loupe Scroll                 , 22MP .CR2                                      , 1           , 0.95        , 0.97        , 1.02        , 1.04                , 1.04                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Loupe Scroll                 , 42MP .ARW                                      , 1.23        , 1.21        , 1.38        , 1.4         , 1.25                , 1.23                ,         , 
