                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Realistic Rain Project                      , RAM Preview Half Res                           , 9.61        , 9.65        , 9.95        , 9.8         , 9.12                , 10.07               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Realistic Rain Project                      , RAM Preview Full Res                           , 3.14        , 3.15        , 3.18        , 3.2         , 2.83                , 3.2                 ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Realistic Rain Project                      , Render                                         , 1.86        , 1.86        , 1.9         , 1.9         , 1.67                , 1.91                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Expressions                                 , RAM Preview Half Res                           , 8.66        , 8.62        , 8.42        , 8.5         , 8.1                 , 8.54                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Expressions                                 , RAM Preview Full Res                           , 4.93        , 4.92        , 4.85        , 4.84        , 4.46                , 4.87                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Expressions                                 , Render                                         , 3.95        , 3.96        , 3.87        , 3.87        , 3.6                 , 3.85                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Motion Blur                                 , RAM Preview Half Res                           , 11.25       , 11.34       , 11.18       , 11.25       , 10.6                , 11.15               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Motion Blur                                 , RAM Preview Full Res                           , 4.09        , 4.09        , 4.04        , 4.06        , 3.78                , 4.05                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Motion Blur                                 , Render                                         , 3.28        , 3.27        , 3.19        , 3.19        , 2.99                , 3.19                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , GPU Stress                                  , RAM Preview Half Res                           , 8.67        , 8.66        , 8.66        , 8.67        , 8.1                 , 8.63                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , GPU Stress                                  , RAM Preview Full Res                           , 2.88        , 2.88        , 2.88        , 2.89        , 2.7                 , 2.89                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , GPU Stress                                  , Render                                         , 2.46        , 2.47        , 2.43        , 2.43        , 2.26                , 2.43                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Text Final Project                      , RAM Preview Half Res                           , 3.51        , 3.58        , 3.53        , 3.55        , 2.44                , 3.75                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Text Final Project                      , RAM Preview Full Res                           , 1.45        , 1.47        , 1.45        , 1.46        , 1.09                , 1.48                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Text Final Project                      , Render                                         , 1.42        , 1.42        , 1.4         , 1.41        , 1.27                , 1.43                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Track Final Project                     , RAM Preview Half Res                           , 2.33        , 2.24        , 2.53        , 2.26        , 1.18                , 2.78                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Track Final Project                     , RAM Preview Full Res                           , 1.2         , 1.4         , 1.53        , 1.23        , 0.96                , 1.61                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , C4D Track Final Project                     , Render                                         , 1.01        , 1.14        , 1.33        , 1.28        , 1.15                , 1.58                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Tracking                                    , Warp Stabilize                                 , 6.41        , 6.99        , 6.48        , 6.9         , 6.38                , 6.94                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Tracking                                    , 3D Camera Tracker                              , 7.24        , 7.27        , 7.3         , 7.22        , 7.04                , 7.22                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Overall Score                               ,                                                , 1012        , 1019        , 1024        , 1007        , 999                 , 985                 , 3.87%   , WSL2 does appear to have slightly lower performance here
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 1 Threads                                      , 3.4         , 3.4         , 3.4         , 3.4         , 3.4                 , 3.4                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 2 Threads                                      , 4.7         , 4.6         , 4.6         , 4.7         , 4.7                 , 4.7                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 4 Threads                                      , 6.8         , 6.8         , 6.9         , 6.9         , 7.1                 , 7                   ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 6 Threads                                      , 8.4         , 8.3         , 8.5         , 8.4         , 8.3                 , 8                   ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 8 Threads                                      , 8.2         , 8.7         , 7.9         , 8.3         , 8.1                 , 8                   ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 10 Threads                                     , 8           , 8.2         , 7.9         , 7.9         , 8.4                 , 7.9                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Phone Composite Project Extended            , 12 Threads                                     , 7.6         , 7.6         , 8           , 7.8         , 8                   , 7.8                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 1 Threads                                      , 4.7         , 4.7         , 4.7         , 4.7         , 4.7                 , 4.7                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 2 Threads                                      , 6.7         , 6.7         , 6.7         , 6.6         , 6.8                 , 6.8                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 4 Threads                                      , 10.1        , 10          , 9.9         , 9.8         , 10                  , 10                  ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 6 Threads                                      , 11.6        , 11.6        , 11.8        , 11.6        , 11.6                , 11.6                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 8 Threads                                      , 11.8        , 11.8        , 11.9        , 11.8        , 11.9                , 11.7                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 10 Threads                                     , 11.9        , 11.9        , 11.9        , 11.7        , 11.4                , 11.6                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Polygon Project Extended                    , 12 Threads                                     , 11.5        , 11.6        , 11.5        , 11.5        , 11.3                , 11.6                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 1 Threads                                      , 2.5         , 2.5         , 2.5         , 2.5         , 2.5                 , 2.5                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 2 Threads                                      , 4.7         , 4.6         , 4.5         , 4.6         , 4.7                 , 4.7                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 4 Threads                                      , 8.1         , 8           , 7.8         , 8.1         , 7.9                 , 8.1                 ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 6 Threads                                      , 10.5        , 10.3        , 10.4        , 10.5        , 10.3                , 10.4                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 8 Threads                                      , 11.7        , 11.7        , 12          , 11.8        , 11.7                , 11.8                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 10 Threads                                     , 12.5        , 12.4        , 13          , 12.6        , 12.2                , 12.5                ,         , 
PugetBench for AERender 0.9 (After Effects 17.1x72)          , Expressions Extended                        , 12 Threads                                     , 12.7        , 12.5        , 12.5        , 12.6        , 11.8                , 12.3                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K                                          , Overall Score                                  , 1101        , 1100        , 1118        , 1118        , 1111                , 1120                , 1.80%   , Within margin of error
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K Test Average                             , Basic Grade                                    , 127.2       , 127         , 128.5       , 128.3       , 126.2               , 128.5               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K Test Average                             , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 99.9        , 99.6        , 103.4       , 103.2       , 104                 , 103.5               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K Test Average                             , Temporal NR - Better 2 Frames                  , 105.4       , 105.1       , 106.5       , 106.7       , 106.5               , 106.7               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K Test Average                             , 3x Temporal NR - Better 2 Frames               , 96.6        , 96.7        , 97.5        , 97.7        , 97.4                , 97.7                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K Test Average                             , Optimized Media                                , 121.4       , 121.3       , 123.2       , 123.1       , 121.4               , 123.7               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , Codec Average                                  , 114.7       , 113.7       , 117.7       , 117.8       , 114.9               , 118.9               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , Codec Average                                  , 107.9       , 107.6       , 109         , 108.8       , 108.3               , 109.3               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , Codec Average                                  , 108         , 108         , 109.5       , 109.5       , 110.3               , 109.5               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , Codec Average                                  , 113         , 113         , 114.3       , 114.5       , 114.6               , 114.3               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , Codec Average                                  , 107         , 107.5       , 108.6       , 108.4       , 107.3               , 108.2               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , Basic Grade                                    , 57.83       , 56.26       , 58.46       , 58.42       , 51.37               , 58.42               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 18.92       , 18.91       , 19.66       , 19.64       , 19.66               , 19.65               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , Temporal NR - Better 2 Frames                  , 17.65       , 17.44       , 17.64       , 17.84       , 17.85               , 17.84               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , 3x Temporal NR - Better 2 Frames               , 7.63        , 7.63        , 7.72        , 7.71        , 7.71                , 7.72                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K CinemaRAW Light                          , Optimized Media                                , 122.03      , 122.01      , 129.9       , 129.63      , 130.02              , 134.25              ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , Basic Grade                                    , 70.87       , 70.82       , 70.76       , 70.81       , 70.78               , 70.77               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 18.55       , 18.3        , 19.25       , 19.03       , 19.27               , 19.26               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , Temporal NR - Better 2 Frames                  , 19.31       , 19.3        , 19.55       , 19.55       , 19.49               , 19.52               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , 3x Temporal NR - Better 2 Frames               , 7.84        , 7.84        , 7.84        , 7.83        , 7.84                , 7.93                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K H264 150Mbps 8bit                        , Optimized Media                                , 84.56       , 84.45       , 85.13       , 85.46       , 82.97               , 85.48               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , Basic Grade                                    , 62.29       , 62.27       , 62.86       , 62.9        , 64.19               , 62.98               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 19.28       , 19.27       , 20.07       , 20.06       , 20.33               , 20.05               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , Temporal NR - Better 2 Frames                  , 20.09       , 20.09       , 20.34       , 20.3        , 20.32               , 20.35               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , 3x Temporal NR - Better 2 Frames               , 7.95        , 7.95        , 8.04        , 8.06        , 8.04                , 8.04                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 422                               , Optimized Media                                , 163.03      , 162.83      , 162.68      , 162.75      , 162.94              , 162.68              ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , Basic Grade                                    , 33.04       , 33.03       , 33.09       , 33.14       , 33.07               , 33.2                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 19.23       , 19.27       , 20.02       , 20.05       , 20.29               , 20.06               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , Temporal NR - Better 2 Frames                  , 18.54       , 18.54       , 18.76       , 18.77       , 18.78               , 18.75               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , 3x Temporal NR - Better 2 Frames               , 7.65        , 7.65        , 7.73        , 7.82        , 7.73                , 7.74                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K ProRes 4444                              , Optimized Media                                , 126.95      , 126.98      , 126.89      , 126.52      , 126.89              , 126.17              ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , Basic Grade                                    , 28.46       , 29.05       , 29.38       , 29.07       , 29.68               , 29.35               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , OpenFX - Lens Flare + Tilt-Shift Blur + Sharpen, 14.42       , 14.42       , 14.69       , 14.7        , 14.69               , 14.7                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , Temporal NR - Better 2 Frames                  , 13.01       , 13.01       , 13.24       , 13.24       , 13.12               , 13.24               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , 3x Temporal NR - Better 2 Frames               , 6.49        , 6.5         , 6.56        , 6.56        , 6.54                , 6.56                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , 4K RED                                      , Optimized Media                                , 51.75       , 51.75       , 51.64       , 51.62       , 49.05               , 50.83               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , Fusion                                      , Overall Score                                  , 960         , 1052        , 1033        , 1023        , 1012                , 1008                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , Fusion Test Average                         , Score                                          , 96          , 105.2       , 103.3       , 102.3       , 101.2               , 100.8               ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , Fusion                                      , 3DBacklitText                                  , 2.47        , 2.48        , 2.49        , 2.46        , 2.46                , 2.47                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , Fusion                                      , PhoneComposite                                 , 12.8        , 17.45       , 16.23       , 16.25       , 15.73               , 15.7                ,         , 
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60)      , Fusion                                      , TurbulantParticles                             , 5.57        , 5.47        , 5.56        , 5.46        , 5.46                , 5.36                ,         , 
GeekBench3                                                   , GeekBench Score                             , Overall Single-Core                            , 5333        , 5320        , 5388        , 5390        , 5412                , 5408                ,         , 
GeekBench3                                                   , GeekBench Score                             , Overall Multi-Core                             , 54850       , 54980       , 55310       , 55377       , 55487               , 55480               , 1.15%   , Within margin of error
GeekBench3                                                   , Integer Score                               , Summary Single-Core                            , 5198        , 5177        , 5263        , 5264        , 5277                , 5277                ,         , 
GeekBench3                                                   , Integer Score                               , Summary Multi-Core                             , 58930       , 59219       , 60073       , 60201       , 60246               , 60170               ,         , 
GeekBench3                                                   , Floating Point Score                        , Summary Single-Core                            , 5414        , 5417        , 5418        , 5423        , 5456                , 5446                ,         , 
GeekBench3                                                   , Floating Point Score                        , Summary Multi-Core                             , 75021       , 75057       , 74957       , 75008       , 75228               , 75290               ,         , 
GeekBench3                                                   , Memory Score                                , Summary Single-Core                            , 5442        , 5416        , 5580        , 5580        , 5597                , 5596                ,         , 
GeekBench3                                                   , Memory Score                                , Summary Multi-Core                             , 6348        , 6352        , 6494        , 6468        , 6487                , 6480                ,         , 
GeekBench3                                                   , Integer                                     , AES Single-Core                                , 7.92        , 8.08        , 7.59        , 7.78        , 7.74                , 7.77                ,         , 
GeekBench3                                                   , Integer                                     , AES Multi-Core                                 , 14.9        , 14.9        , 14.9        , 14.9        , 14.9                , 14.9                ,         , 
GeekBench3                                                   , Integer                                     , Twofish Single-Core                            , 249.2       , 247.5       , 246.5       , 245.2       , 245.5               , 245.8               ,         , 
GeekBench3                                                   , Integer                                     , Twofish Multi-Core                             , 4.02        , 4.02        , 3.98        , 3.97        , 3.98                , 3.98                ,         , 
GeekBench3                                                   , Integer                                     , SHA1 Single-Core                               , 719.1       , 717.3       , 710.4       , 708.4       , 713.8               , 713.3               ,         , 
GeekBench3                                                   , Integer                                     , SHA1 Multi-Core                                , 8.48        , 8.58        , 8.47        , 8.46        , 8.51                , 8.42                ,         , 
GeekBench3                                                   , Integer                                     , SHA2 Single-Core                               , 295.8       , 295.4       , 292         , 292         , 293.7               , 293.6               ,         , 
GeekBench3                                                   , Integer                                     , SHA2 Multi-Core                                , 3.24        , 3.23        , 3.17        , 3.17        , 3.19                , 3.2                 ,         , 
GeekBench3                                                   , Integer                                     , BZip2 Compress Single-Core                     , 17.5        , 17.4        , 17.2        , 17.3        , 17.3                , 17.3                ,         , 
GeekBench3                                                   , Integer                                     , BZip2 Compress Multi-Core                      , 286.7       , 287.3       , 284.8       , 283.8       , 285                 , 283.9               ,         , 
GeekBench3                                                   , Integer                                     , BZip2 Decompress Single-Core                   , 23.7        , 23.2        , 23.5        , 23.5        , 23.6                , 23.6                ,         , 
GeekBench3                                                   , Integer                                     , BZip2 Decompress Multi-Core                    , 385.4       , 383.2       , 379.6       , 379.3       , 381                 , 377.7               ,         , 
GeekBench3                                                   , Integer                                     , JPEG Compress Single-Core                      , 64.5        , 63.9        , 63.3        , 64.2        , 63.4                , 64.1                ,         , 
GeekBench3                                                   , Integer                                     , JPEG Compress Multi-Core                       , 979         , 997.7       , 965.2       , 954.2       , 988.3               , 965.4               ,         , 
GeekBench3                                                   , Integer                                     , JPEG Decompress Single-Core                    , 164         , 164         , 173.1       , 174.6       , 175                 , 175.1               ,         , 
GeekBench3                                                   , Integer                                     , JPEG Decompress Multi-Core                     , 1.89        , 1.95        , 2.31        , 2.31        , 2.32                , 2.31                ,         , 
GeekBench3                                                   , Integer                                     , PNG Compress Single-Core                       , 3.09        , 3.02        , 3.03        , 3.05        , 3                   , 3.04                ,         , 
GeekBench3                                                   , Integer                                     , PNG Compress Multi-Core                        , 53.1        , 52.6        , 51.5        , 52          , 52.6                , 52.2                ,         , 
GeekBench3                                                   , Integer                                     , PNG Decompress Single-Core                     , 51.1        , 51.2        , 52.5        , 52.8        , 53                  , 53.2                ,         , 
GeekBench3                                                   , Integer                                     , PNG Decompress Multi-Core                      , 800.3       , 816.3       , 881.2       , 878.6       , 883.7               , 868.5               ,         , 
GeekBench3                                                   , Integer                                     , Sobel Single-Core                              , 195.9       , 191.4       , 212.6       , 204.7       , 208.8               , 205.2               ,         , 
GeekBench3                                                   , Integer                                     , Sobel Multi-Core                               , 2.29        , 2.28        , 2.28        , 2.29        , 2.26                , 2.3                 ,         , 
GeekBench3                                                   , Integer                                     , Lua Single-Core                                , 4.68        , 4.67        , 4.74        , 4.74        , 4.74                , 4.73                ,         , 
GeekBench3                                                   , Integer                                     , Lua Multi-Core                                 , 66.8        , 68.1        , 66.7        , 66.8        , 64.9                , 65.9                ,         , 
GeekBench3                                                   , Integer                                     , Dijkstra Single-Core                           , 14.1        , 14.4        , 16          , 15.7        , 16.1                , 15.9                ,         , 
GeekBench3                                                   , Integer                                     , Dijkstra Multi-Core                            , 81.1        , 79.9        , 86          , 88.8        , 86.6                , 88.6                ,         , 
GeekBench3                                                   , Floating Point                              , BlackScholes Single-Core                       , 29.1        , 29.2        , 28.9        , 28.9        , 29.1                , 29.1                ,         , 
GeekBench3                                                   , Floating Point                              , BlackScholes Multi-Core                        , 453.9       , 452.8       , 447.8       , 450.4       , 450.2               , 451.5               ,         , 
GeekBench3                                                   , Floating Point                              , Mandelbrot Single-Core                         , 5.09        , 5.13        , 5.09        , 5.08        , 5.08                , 5.09                ,         , 
GeekBench3                                                   , Floating Point                              , Mandelbrot Multi-Core                          , 99.8        , 100.8       , 99.7        , 99.7        , 99.9                , 99.9                ,         , 
GeekBench3                                                   , Floating Point                              , Sharpen Filter Single-Core                     , 3.35        , 3.35        , 3.42        , 3.41        , 3.43                , 3.44                ,         , 
GeekBench3                                                   , Floating Point                              , Sharpen Filter Multi-Core                      , 38.2        , 38.1        , 38.8        , 38.4        , 38.9                , 38.9                ,         , 
GeekBench3                                                   , Floating Point                              , Blur Filter Single-Core                        , 4.02        , 4           , 4.04        , 4.05        , 4.07                , 4.06                ,         , 
GeekBench3                                                   , Floating Point                              , Blur Filter Multi-Core                         , 44.3        , 44.5        , 44.7        , 44.7        , 44.5                , 44.9                ,         , 
GeekBench3                                                   , Floating Point                              , SGEMM Single-Core                              , 15          , 15          , 15.6        , 15.6        , 15.6                , 15.7                ,         , 
GeekBench3                                                   , Floating Point                              , SGEMM Multi-Core                               , 239.1       , 238.7       , 242.6       , 242.1       , 242.4               , 243                 ,         , 
GeekBench3                                                   , Floating Point                              , DGEMM Single-Core                              , 8.19        , 8.22        , 8.36        , 8.36        , 8.41                , 8.41                ,         , 
GeekBench3                                                   , Floating Point                              , DGEMM Multi-Core                               , 121         , 120.7       , 123.1       , 123         , 123.4               , 123.5               ,         , 
GeekBench3                                                   , Floating Point                              , SFFT Single-Core                               , 5.11        , 5.12        , 4.95        , 5.04        , 5.01                , 5.01                ,         , 
GeekBench3                                                   , Floating Point                              , SFFT Multi-Core                                , 61.3        , 61.5        , 60.4        , 60.6        , 60.6                , 61.1                ,         , 
GeekBench3                                                   , Floating Point                              , DFFT Single-Core                               , 4.84        , 4.85        , 4.78        , 4.72        , 4.79                , 4.73                ,         , 
GeekBench3                                                   , Floating Point                              , DFFT Multi-Core                                , 57.7        , 57.8        , 57.3        , 57.4        , 57.6                , 57.1                ,         , 
GeekBench3                                                   , Floating Point                              , N-Body Single-Core                             , 2.7         , 2.67        , 2.62        , 2.65        , 2.67                , 2.68                ,         , 
GeekBench3                                                   , Floating Point                              , N-Body Multi-Core                              , 38          , 37.9        , 37.8        , 37.7        , 37.9                , 37.8                ,         , 
GeekBench3                                                   , Floating Point                              , Ray Trace Single-Core                          , 7.39        , 7.43        , 7.38        , 7.34        , 7.5                 , 7.44                ,         , 
GeekBench3                                                   , Floating Point                              , Ray Trace Multi-Core                           , 105.5       , 104.9       , 103.2       , 104.4       , 105                 , 104.3               ,         , 
GeekBench3                                                   , Memory                                      , Stream Copy Single-Core                        , 27.4        , 27.1        , 28.9        , 29          , 29                  , 29.2                ,         , 
GeekBench3                                                   , Memory                                      , Stream Copy Multi-Core                         , 35.6        , 35.6        , 36.5        , 36.4        , 36.5                , 36.4                ,         , 
GeekBench3                                                   , Memory                                      , Stream Scale Single-Core                       , 19.7        , 19.7        , 19.9        , 19.9        , 20.1                , 19.8                ,         , 
GeekBench3                                                   , Memory                                      , Stream Scale Multi-Core                        , 22.8        , 22.8        , 23.2        , 23.2        , 23.2                , 23.3                ,         , 
GeekBench3                                                   , Memory                                      , Stream Add Single-Core                         , 22.6        , 22.7        , 23.1        , 23.2        , 23.2                , 23.2                ,         , 
GeekBench3                                                   , Memory                                      , Stream Add Multi-Core                          , 25.2        , 25.3        , 26          , 25.7        , 25.7                , 25.7                ,         , 
GeekBench3                                                   , Memory                                      , Stream Triad Single-Core                       , 22.7        , 22.5        , 23.1        , 23          , 23                  , 23.1                ,         , 
GeekBench3                                                   , Memory                                      , Stream Triad Multi-Core                        , 25.2        , 25.2        , 25.7        , 25.6        , 25.7                , 25.6                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , Max CPU and GPU Result                      ,                                                , 39          , 38.5        , 39.9        , 39.4        , 39.8                , 39.3                , 3.56%   , Looks like v2004 has slightly improved performance (both with and without WSL2)
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , Max Peak CPU Only Result                    ,                                                , 25.5        , 24.8        , 25.6        , 25.5        , 25.6                , 25.6                , 3.15%   , Looks like one of the v1909 results was abnormally low
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , Max Peak GPU Only Result                    ,                                                , 42.3        , 43.1        , 43.2        , 43          , 43.1                , 43                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (1 core)                           ,                                                , 3.99        , 3.86        , 3.92        , 3.93        , 3.9                 , 3.9                 ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (2 cores)                          ,                                                , 8.11        , 7.86        , 7.85        , 7.95        , 7.88                , 7.94                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (3 cores)                          ,                                                , 11.1        , 11          , 11          , 11          , 11.1                , 11                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (4 cores)                          ,                                                , 14.3        , 14.3        , 14          , 13.8        , 14.1                , 14.2                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (5 cores)                          ,                                                , 16.8        , 16.6        , 16.5        , 16.4        , 16.4                , 16.4                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (6 cores)                          ,                                                , 18.9        , 18.7        , 18.5        , 18.5        , 18.5                , 18.6                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (7 cores)                          ,                                                , 20.4        , 20.4        , 20.3        , 20.3        , 20.2                , 20.4                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (8 cores)                          ,                                                , 22          , 21.9        , 21.6        , 21.6        , 21.7                , 21.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (9 cores)                          ,                                                , 22.9        , 22.9        , 22.8        , 22.7        , 22.8                , 22.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (10 cores)                         ,                                                , 23.9        , 23.9        , 23.6        , 23.9        , 23.9                , 23.7                ,         , 
